,Sample,Event,<qLKSiki>,<Rc3kmmq>,<qLKSiki> + CoT,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
0,1,15,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
1,1,16,FP,TN,TN,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,TN,FP,TN,TN,TN,FP,TN,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,FP
2,2,15,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
3,2,16,FP,TN,TN,TN,FP,FP,FP,FP,FP,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN
4,3,18,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
5,4,17,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP
6,5,18,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
7,5,19,FP,TN,FP,TN,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,FP,FP,TN,TN,FP,FP,TN,FP,TN,TN,TN
8,6,17,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,FN,TP
9,6,18,FP,TN,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,TN,FP,FP,TN,TN,TN,FP
10,7,20,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP
11,8,18,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
12,9,15,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP
13,9,17,FP,TN,TN,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,TN,TN,TN,TN,TN,TN,TN
14,10,19,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
15,11,18,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP
16,12,15,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
17,12,16,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,FP,TN,TN,TN,TN,TN,TN,FP
18,13,17,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
19,14,17,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP
20,15,16,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
21,16,16,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,FN,FN,FN,TP,TP
22,17,16,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,TP,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,TP,TP,TP
23,18,16,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
24,18,17,FP,FP,FP,FP,FP,FP,FP,TN,TN,TN,TN,TN,TN,FP,FP,TN,TN,TN,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,TN,FP,TN,TN,TN,FP,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,FP
25,19,14,TP,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP
26,19,15,FP,TN,TN,TN,FP,FP,FP,FP,TN,FP,FP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,FP,TN,FP,TN,TN,TN,TN,TN,TN,TN,TN
27,20,16,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,FN,FN,FN,FN,FN,FN,FN,FN,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,TP,FN,TP,FN,TP,TP,TP
