,set_id,<qLKSiki>,<qLKSiki> + CoT,<Rc3kmmq>,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
0,120-0-1,0.36065573770491804,0.41340782122905023,0.2517814726840855,0.24824355971896955,0.375,0.36501901140684406,0.37323943661971826,0.3709677419354838,0.3571428571428571,0.35687732342007433,0.3166023166023166,0.3076923076923077,0.33725490196078434,0.35526315789473684,0.34437086092715236,0.2893081761006289,0.2890855457227139,0.34810126582278483,0.28042328042328046,0.3344262295081967,0.2816901408450704,0.31515151515151507,0.3870967741935484,0.3448275862068966,0.3620689655172414,0.3459915611814346,0.36153846153846153,0.3826086956521739,0.3619047619047619,0.38842975206611574,0.3459915611814346,0.3391304347826087,0.34934497816593885,0.31578947368421056,0.33217993079584773,0.2881844380403458,0.3303303303303303,0.33217993079584773,0.288135593220339,0.25806451612903225,0.29906542056074764,0.24215246636771298,0.33980582524271846,0.3345724907063197,0.3727598566308244,0.34285714285714286,0.30935251798561153,0.23076923076923078,0.2762762762762763,0.32298136645962733,0.2958199356913183,0.28104575163398693,0.23564954682779457,0.26627218934911245,0.32608695652173914
1,114-1-1,0.36619718309859156,0.5185185185185185,0.15469613259668508,0.10108303249097474,0.2616822429906542,0.30303030303030304,0.2782608695652174,0.12790697674418605,0.14150943396226418,0.15625,0.1935483870967742,0.1414141414141414,0.12790697674418605,0.14953271028037382,0.14746543778801843,0.1290322580645161,0.09655172413793102,0.1087866108786611,0.0802675585284281,0.09442060085836909,0.10389610389610389,0.12334801762114538,0.16091954022988503,0.14606741573033707,0.2222222222222222,0.20689655172413793,0.19672131147540983,0.25396825396825395,0.25210084033613445,0.16455696202531644,0.1875,0.23529411764705882,0.18055555555555555,0.10784313725490195,0.1348314606741573,0.11111111111111109,0.13197969543147206,0.11570247933884296,0.12682926829268293,0.10300429184549355,0.1145374449339207,0.13513513513513514,0.18487394957983194,0.16216216216216217,0.1372549019607843,0.13526570048309178,0.09345794392523364,0.09569377990430622,0.11822660098522166,0.08928571428571429,0.09467455621301774,0.09836065573770493,0.1262135922330097,0.09954751131221719,0.1372549019607843
2,57-1-2,0.5454545454545455,0.3773584905660377,0.2490566037735849,0.16243654822335027,0.3979591836734694,0.42105263157894735,0.45360824742268047,0.28181818181818186,0.3436123348017621,0.32340425531914896,0.3035714285714286,0.3084577114427861,0.27350427350427353,0.26153846153846155,0.30973451327433627,0.24060150375939846,0.20618556701030924,0.19999999999999998,0.18421052631578946,0.22442244224422442,0.21088435374149664,0.1863799283154122,0.1921921921921922,0.223826714801444,0.3829787234042553,0.3490566037735849,0.3297872340425532,0.3956043956043956,0.37438423645320196,0.3333333333333333,0.33333333333333337,0.3229166666666667,0.31313131313131315,0.2540983606557377,0.17704918032786884,0.21686746987951805,0.23220973782771537,0.19166666666666668,0.21132075471698117,0.19011406844106463,0.20338983050847456,0.24899598393574293,0.28865979381443296,0.3933054393305439,0.2727272727272727,0.2549800796812749,0.2978723404255319,0.256,0.17804154302670624,0.24124513618677043,0.2094594594594595,0.23754789272030652,0.16339869281045752,0.1793103448275862,0.23999999999999996
3,180-2-1,0.4636363636363636,0.22608695652173916,0.41702127659574467,0.2268041237113402,0.39543726235741444,0.40304182509505704,0.41666666666666663,0.26277372262773724,0.18796992481203006,0.35424354243542433,0.31759656652360513,0.24000000000000002,0.18772563176895307,0.37065637065637064,0.384,0.3119266055045872,0.2958199356913183,0.26062322946175637,0.2737430167597765,0.22651933701657462,0.25671641791044775,0.2521489971346705,0.29457364341085274,0.2714285714285714,0.40540540540540543,0.35714285714285715,0.32558139534883723,0.36134453781512604,0.27615062761506276,0.29535864978902954,0.38626609442060084,0.2654867256637168,0.37383177570093457,0.28823529411764703,0.2564102564102564,0.24925816023738873,0.2414860681114551,0.22089552238805968,0.24437299035369772,0.25573770491803277,0.2531645569620253,0.24188790560471976,0.23115577889447236,0.24334600760456274,0.2750929368029739,0.19852941176470587,0.12363636363636366,0.21621621621621626,0.2888086642599278,0.24675324675324675,0.2747603833865815,0.2522522522522523,0.21229050279329612,0.2621722846441948,0.23104693140794227
4,51-0-0,0.6136363636363636,0.462809917355372,0.4,0.1794019933554817,0.34838709677419355,0.356687898089172,0.4375,0.27692307692307694,0.29166666666666663,0.25112107623318386,0.2388059701492537,0.2783505154639175,0.29213483146067415,0.3971631205673759,0.300578034682081,0.4444444444444444,0.2374429223744292,0.21576763485477182,0.20161290322580644,0.19491525423728814,0.19841269841269843,0.1992619926199262,0.29189189189189185,0.251207729468599,0.27979274611398963,0.2934782608695652,0.32727272727272727,0.3294117647058823,0.3085714285714286,0.3295454545454545,0.3468208092485549,0.3255813953488372,0.30952380952380953,0.200836820083682,0.1752988047808765,0.16091954022988506,0.19913419913419916,0.2072072072072072,0.20634920634920634,0.19455252918287938,0.1825726141078838,0.20444444444444446,0.3544303797468355,0.28431372549019607,0.2857142857142857,0.2555066079295154,0.3,0.2577777777777778,0.21176470588235294,0.2604166666666667,0.19696969696969696,0.16793893129770993,0.171875,0.3448275862068965,0.17872340425531916
5,68-0-2,0.3571428571428571,0.13333333333333336,0.22085889570552145,0.17316017316017318,0.2913907284768211,0.2484472049689441,0.2777777777777778,0.23602484472049692,0.19900497512437812,0.21505376344086022,0.25149700598802394,0.18633540372670807,0.1988950276243094,0.21348314606741572,0.23204419889502764,0.21301775147928997,0.1986754966887417,0.2159090909090909,0.20952380952380953,0.23121387283236997,0.1414141414141414,0.1931818181818182,0.2303030303030303,0.2254901960784314,0.26506024096385544,0.2692307692307693,0.2430939226519337,0.27329192546583847,0.27672955974842767,0.34782608695652173,0.3013698630136986,0.3888888888888889,0.2953020134228188,0.15228426395939085,0.15384615384615383,0.13592233009708737,0.12612612612612611,0.15668202764976957,0.13973799126637557,0.14285714285714288,0.1568627450980392,0.15,0.32558139534883723,0.2171945701357466,0.19469026548672566,0.175609756097561,0.17592592592592596,0.3230769230769231,0.2165605095541401,0.1572052401746725,0.17142857142857143,0.1911764705882353,0.15463917525773196,0.16037735849056603,0.17224880382775118
6,73-0-1,0.896551724137931,0.31578947368421056,0.2222222222222222,0.16176470588235295,0.18181818181818182,0.16417910447761194,0.1761006289308176,0.13414634146341464,0.15476190476190477,0.1276595744680851,0.0813953488372093,0.1466666666666667,0.15,0.2380952380952381,0.17886178861788615,0.2061855670103093,0.08368200836820085,0.1092896174863388,0.09009009009009009,0.08928571428571427,0.0909090909090909,0.10309278350515463,0.08695652173913043,0.07434944237918216,0.109375,0.1492537313432836,0.14492753623188406,0.140625,0.14102564102564102,0.12903225806451613,0.14388489208633093,0.11920529801324503,0.1388888888888889,0.10695187165775402,0.10280373831775702,0.07,0.10309278350515463,0.08181818181818182,0.08955223880597016,0.07659574468085106,0.0923076923076923,0.0730593607305936,0.12413793103448277,0.18181818181818182,0.13749999999999998,0.12658227848101267,0.11904761904761907,0.15483870967741936,0.18348623853211007,0.09278350515463918,0.12359550561797752,0.08490566037735849,0.07142857142857144,0.12578616352201258,0.0947867298578199
7,36-0-0,0.7450980392156863,0.5862068965517241,0.24852071005917165,0.16546762589928057,0.19138755980861244,0.23958333333333334,0.21296296296296297,0.2,0.17,0.21333333333333335,0.17142857142857143,0.16666666666666666,0.1592920353982301,0.2375,0.20754716981132074,0.14977973568281935,0.17857142857142858,0.1456953642384106,0.182648401826484,0.13584905660377358,0.13333333333333333,0.11428571428571428,0.2018348623853211,0.12459016393442623,0.32214765100671144,0.3137254901960785,0.2641509433962264,0.2717391304347826,0.2573099415204678,0.2430939226519337,0.2807017543859649,0.2732919254658385,0.33103448275862074,0.13100436681222707,0.12605042016806722,0.1271186440677966,0.11406844106463879,0.1111111111111111,0.100418410041841,0.1181818181818182,0.12121212121212122,0.10232558139534884,0.2375,0.17316017316017318,0.1688888888888889,0.14479638009049775,0.168141592920354,0.1391304347826087,0.15111111111111108,0.1630901287553648,0.13114754098360654,0.1379310344827586,0.1103448275862069,0.15139442231075695,0.18699186991869918
8,226-0-0,0.4434389140271493,0.43312101910828027,0.37681159420289856,0.3875,0.4224137931034483,0.5043478260869565,0.4486692015209125,0.4140625,0.41843971631205673,0.4461538461538462,0.4128113879003559,0.37878787878787884,0.3884892086330935,0.40336134453781514,0.44,0.35074626865671643,0.36283185840707965,0.363013698630137,0.3822525597269625,0.32024169184290036,0.3517241379310345,0.3411371237458194,0.3969465648854962,0.3985239852398524,0.4444444444444444,0.48034934497816595,0.43946188340807174,0.44131455399061037,0.5077720207253886,0.4521739130434783,0.5238095238095237,0.484304932735426,0.4933920704845815,0.2507462686567164,0.27355623100303955,0.3023255813953488,0.3099630996309963,0.2829581993569132,0.2974683544303797,0.30128205128205127,0.3691275167785235,0.3064516129032258,0.4739336492890995,0.40441176470588236,0.3676470588235293,0.3394833948339483,0.375,0.3071428571428571,0.37174721189591076,0.36781609195402304,0.3007518796992481,0.27464788732394363,0.2692307692307693,0.26720647773279355,0.3181818181818182
9,22-1-1,0.35714285714285715,0.30769230769230765,0.3303303303303304,0.22170900692840645,0.3603603603603604,0.43555555555555553,0.3485477178423236,0.23904382470119523,0.3346938775510204,0.3087719298245614,0.344,0.26515151515151514,0.2713178294573644,0.3605150214592275,0.36585365853658536,0.33725490196078434,0.30967741935483867,0.29931972789115646,0.24332344213649854,0.2874251497005988,0.2530120481927711,0.31097560975609756,0.2899628252788104,0.33093525179856115,0.36363636363636365,0.27906976744186046,0.28820960698689957,0.3261802575107296,0.21674876847290642,0.3410138248847926,0.3423423423423423,0.3317972350230415,0.34210526315789475,0.2743682310469314,0.271523178807947,0.24046920821114368,0.2507836990595611,0.26936026936026936,0.21938775510204084,0.2883435582822086,0.254071661237785,0.27464788732394363,0.3181818181818182,0.27956989247311825,0.2887323943661972,0.3048327137546469,0.25089605734767023,0.2803030303030303,0.25,0.28252788104089216,0.2593856655290102,0.27586206896551724,0.2455089820359282,0.29152542372881357,0.2727272727272727
10,73-1-1,0.2693877551020408,0.41860465116279066,0.2857142857142857,0.2478386167146974,0.34977578475336324,0.3333333333333333,0.37623762376237624,0.3333333333333333,0.3153846153846154,0.33628318584070793,0.3571428571428571,0.2764227642276423,0.22137404580152673,0.25846153846153846,0.2097378277153558,0.21587301587301588,0.23104693140794225,0.22404371584699453,0.22699386503067487,0.20273972602739726,0.19999999999999998,0.16886543535620055,0.21854304635761587,0.20454545454545456,0.3654822335025381,0.38775510204081637,0.39999999999999997,0.3474178403755869,0.38461538461538464,0.38461538461538464,0.3478260869565217,0.33962264150943394,0.35944700460829493,0.2111436950146627,0.1947565543071161,0.1951219512195122,0.17252396166134185,0.18292682926829268,0.20689655172413796,0.19411764705882353,0.21379310344827587,0.178343949044586,0.3563218390804598,0.31932773109243695,0.26556016597510373,0.29535864978902954,0.3404255319148936,0.21011673151750968,0.27091633466135456,0.22508038585209003,0.1807228915662651,0.1987179487179487,0.20125786163522014,0.2195845697329377,0.23809523809523814
