,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,rounds,solvers
85,FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.8218085106382979,0.3831837512656853,376,0.7830765721351938,0.8605404491414019,2.0,3.0
86,FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.851063829787234,0.3564999278843691,376,0.8150290729960867,0.8870985865783814,2.0,5.0
87,FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.8377659574468085,0.3691566005703824,376,0.800451873266362,0.875080041627255,2.0,7.0
88,FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.8218085106382979,0.38318375126568516,376,0.7830765721351938,0.8605404491414019,3.0,3.0
89,FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.8537234042553191,0.35385415916369656,376,0.8179560798671484,0.8894907286434899,3.0,5.0
90,FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.8297872340425532,0.3763203705310088,376,0.7917490411371181,0.8678254269479883,3.0,7.0
106,FANToM,AnswerabilityQs_Binary,Mixed-A MAD R3 S7,MAD,Mixed,0.6356382978723404,0.48189195693228615,376,0.586929004799784,0.6843475909448967,3.0,7.0
108,FANToM,AnswerabilityQs_Binary,Mixed-B MAD R3 S7,MAD,Mixed,0.6542553191489362,0.4762441712381349,376,0.6061169001999878,0.7023937380978846,3.0,7.0
112,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.3116883116883117,0.4662205334202242,77,0.20755202062636996,0.4158246027502534,1.0,3.0
113,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.3116883116883117,0.4662205334202241,77,0.20755202062636996,0.4158246027502534,1.0,5.0
114,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.2727272727272727,0.44828220776542427,77,0.17259773505272072,0.3728568104018247,1.0,7.0
115,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.3116883116883117,0.46622053342022424,77,0.20755202062636993,0.41582460275025346,2.0,3.0
116,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.3246753246753247,0.47132395947782424,77,0.2193991184375142,0.42995153091313515,2.0,5.0
117,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.2857142857142857,0.4547163041867237,77,0.18414761069888408,0.3872809607296873,2.0,7.0
118,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.35064935064935066,0.4803023654629546,77,0.24336770314090211,0.4579309981577992,3.0,3.0
119,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.33766233766233766,0.47601386563146547,77,0.23133858118325848,0.4439860941414169,3.0,5.0
120,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.38961038961038963,0.4908597225878863,77,0.2799706219944,0.4992501572263793,3.0,7.0
137,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159,1.0,3.0
138,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159,1.0,5.0
139,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.4805194805194805,0.502896599458671,77,0.368191123226633,0.5928478378123281,1.0,7.0
140,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.4805194805194805,0.502896599458671,77,0.368191123226633,0.5928478378123281,2.0,3.0
