dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.4444444444444444,0.49968779266390756,90,0.3412078769161827,0.5476810119727061
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.5,0.5028011423654931,90,0.39612020775937673,0.6038797922406233
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.43333333333333335,0.4983117565757133,90,0.33038105780624877,0.536285608860418
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.4888888888888889,0.5026769786045273,90,0.38503474914704927,0.5927430286307285
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.4111111111111111,0.4947918514685246,90,0.30888605551340304,0.5133361667088192
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.5111111111111111,0.5026769786045271,90,0.4072569713692715,0.6149652508529506
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.5333333333333333,0.5016825622427263,90,0.4296846421403545,0.6369820245263121
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.4222222222222222,0.4966806171531967,90,0.3196069435912253,0.5248375008532191
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.4666666666666667,0.5016825622427264,90,0.36301797547368786,0.5703153578596455
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.43333333333333335,0.49831175657571336,90,0.33038105780624877,0.536285608860418
FANToM,AnswerabilityQ_List,Mixed MoA W5 L5,MoA,Mixed,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,Mixed-A MAD R3 S7,MAD,Mixed,0.5111111111111111,0.5026769786045273,90,0.4072569713692714,0.6149652508529507
FANToM,AnswerabilityQ_List,Mixed-A Reflection T5,Reflection,Mixed,0.4,0.49264249635357593,90,0.2982190057696583,0.5017809942303417
FANToM,AnswerabilityQ_List,Mixed-B MAD R3 S7,MAD,Mixed,0.5,0.5028011423654932,90,0.39612020775937673,0.6038797922406233
FANToM,AnswerabilityQ_List,Mixed-B Reflection T5,Reflection,Mixed,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQs_Binary,<Rc3kmmq>,Vanilla,<Rc3kmmq>,0.5212765957446809,0.5002127207073473,376,0.47071545302160644,0.5718377384677553
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> + CoT,CoT,<Rc3kmmq>,0.7047872340425532,0.4567461234390454,376,0.6586196637681386,0.7509548043169677
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.5212765957446809,0.5002127207073475,376,0.47071545302160644,0.5718377384677553
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.5132978723404256,0.5004891224613456,376,0.46270879112647656,0.5638869535543746
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.5186170212765957,0.5003190471450895,376,0.4680451311535225,0.5691889113996689
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.5186170212765957,0.5003190471450895,376,0.4680451311535225,0.5691889113996689
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.5186170212765957,0.5003190471450895,376,0.4680451311535225,0.5691889113996689
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.5186170212765957,0.5003190471450893,376,0.4680451311535225,0.5691889113996689
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.5106382978723404,0.5005528858066465,376,0.46004277150522194,0.5612338242394588
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.5,0.500666222813829,376,0.4493930176095564,0.5506069823904436
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.5079787234042553,0.5006024739046271,376,0.4573781847077907,0.55857926210072
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.43617021276595747,0.49656979397028167,376,0.38597729446233003,0.4863631310695849
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.42819148936170215,0.495475987208976,376,0.37810913226030013,0.47827384646310417
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.42021276595744683,0.49425063271913194,376,0.37025426680823714,0.4701712651066565
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.425531914893617,0.49508219820422095,376,0.37548936170212766,0.4755744680851064
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.43882978723404253,0.4969053165513743,376,0.38860295454877875,0.4890566199193063
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.42819148936170215,0.4954759872089758,376,0.37810913226030013,0.47827384646310417
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.449468085106383,0.4981027835484593,376,0.39912021331667547,0.4998159568960905
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.4308510638297872,0.4958551607329823,376,0.38073038014077465,0.4809717475187998
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.43882978723404253,0.49690531655137393,376,0.3886029545487788,0.48905661991930627
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.5132978723404256,0.5004891224613452,376,0.4627087911264766,0.5638869535543746
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.5053191489361702,0.5006378909674541,376,0.45471503030841975,0.5559232675639207
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.5212765957446809,0.5002127207073475,376,0.47071545302160644,0.5718377384677553
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.5186170212765957,0.5003190471450895,376,0.4680451311535225,0.5691889113996689
FANToM,AnswerabilityQs_Binary,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.523936170212766,0.5000921900825488,376,0.47338721063872125,0.5744851297868107
FANToM,AnswerabilityQs_Binary,<qLKSiki>,Vanilla,<qLKSiki>,0.7553191489361702,0.4304706314477297,376,0.7118074865299387,0.7988308113424017
FANToM,AnswerabilityQs_Binary,<qLKSiki> + CoT,CoT,<qLKSiki>,0.7872340425531915,0.40980881202256675,376,0.7458108620220247,0.8286572230843583
